,Year,Entity,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number,co2_per_km
0,2001,Austria,0.0,0.0,39.0,100754.0,192734.0,166.0405543
1,2001,Belgium,5.0,0.0,48.0,186084.0,302493.0,164.8407242
2,2001,Denmark,7.0,0.0,0.0,78926.0,17183.0,174.3094128
3,2001,Finland,0.0,0.0,0.0,91191.0,18231.0,181.1862802
4,2001,France,407.0,0.0,84.0,986491.0,1267750.0,160.0968531
5,2001,Germany,56.00005028,0.0,606.0005441,2185246.962,1155300.037,178.9234762
6,2001,Greece,0.0,0.0,0.0,277814.2746,2479.725444,167.1640078
7,2001,Ireland,0.0,0.0,19.07941399,143493.2601,21060.66051,169.311945
8,2001,Italy,147.0,0.0,23.0,1557121.0,888028.0,158.4855445
9,2001,Luxembourg,0.0,0.0,4.0,17931.0,25229.0,174.6155768
10,2001,Netherlands,13.00071097,0.0,383.0209464,408614.346,121276.6323,173.7460875
11,2001,Portugal,4.0,0.0,14.0,182452.0,72745.0,157.762185
12,2001,Spain,0.0,0.0,20.0,701839.0,804281.0,164.4672638
13,2001,Sweden,2.0,0.0,229.0,232709.0,13641.0,199.9586507
14,2001,United Kingdom,29.0,0.0,719.0,2019996.0,437628.0,177.8817179
15,2002,Austria,1.0,0.0,17.0,84920.0,194555.0,163.9467583
16,2002,Belgium,4.0,0.0,13.0,174240.0,293223.0,161.2506942
17,2002,Denmark,1.000008911,0.0,0.0,89295.79575,22919.20424,170.7603757
18,2002,Finland,0.0,0.0,0.0,98551.0,18460.0,180.4835436
19,2002,France,233.0,0.0,51.0,793425.0,1351362.0,156.4391553
20,2002,Germany,19.0,0.0,135.0,2016224.0,1235960.0,176.0717963
21,2002,Greece,0.0,0.0,4.00114749,266450.4154,2034.583499,167.1445772
22,2002,Ireland,0.0,0.0,9.039324324,130663.4331,25406.52757,168.1161775
23,2002,Italy,126.0,0.0,15.0,1323521.0,1012770.0,157.0861475
24,2002,Luxembourg,0.0,0.0,0.0,16677.0,27000.0,172.2235586
25,2002,Netherlands,14.00145293,0.0,63.0065382,400517.5618,110149.4302,172.1880896
26,2002,Portugal,0.0,0.0,6.0,147697.0,78389.0,153.453946
27,2002,Spain,3.0,0.0,14.0,585677.0,819895.0,161.9874661
28,2002,Sweden,1.0,0.0,121.0,236670.0,17797.0,199.4321323
29,2002,United Kingdom,45.00001756,0.0,339.0001323,1965464.767,596885.2329,174.2901465
30,2003,Austria,0.0,0.0,8.0,85889.0,214222.0,163.2174606
31,2003,Belgium,0.0,0.0,34.0,145613.0,313076.0,158.0880612
32,2003,Denmark,2.0,0.0,0.0,74535.0,22672.0,171.0443205
33,2003,Finland,0.0,0.0,0.0,125027.0,22078.0,179.6261385
34,2003,France,113.0,0.0,36.0,655678.0,1353419.0,154.8082814
35,2003,Germany,17.0,0.0,260.0,1945639.0,1290602.0,176.48252
36,2003,Greece,0.0,0.0,4.001601929,253210.3656,4078.632766,168.9246788
37,2003,Ireland,0.0,0.0,9.021058226,120688.7286,24525.2503,168.3991197
38,2003,Italy,137.0,0.0,11.0,1170804.0,1106001.0,154.6813084
39,2003,Luxembourg,0.0,0.0,0.0,14954.0,28814.0,172.5956966
40,2003,Netherlands,0.0,0.0,19.01088611,378208.5718,110748.4173,177.0191987
41,2003,Portugal,1.0,0.0,102.0,104738.0,84951.0,150.2182944
42,2003,Spain,0.0,0.0,101.0000689,562933.384,902908.6159,159.4079924
43,2003,Sweden,1.0,0.0,89.0,240870.0,20209.0,199.3254298
44,2003,United Kingdom,2.0,0.0,1079.0,1873592.0,704074.0,172.989303
45,2004,Austria,0.0,0.0,133.0021363,96387.54819,214771.4497,162.3965748
46,2004,Belgium,0.0,0.0,135.0,145365.0,339176.0,156.3707812
47,2004,Denmark,3.0,0.0,10.0,91650.0,30183.0,170.1926623
48,2004,Finland,0.0,0.0,63.0,120442.0,21798.0,180.9185791
49,2004,France,460.0,0.0,669.0,619675.0,1392905.0,153.0892857
50,2004,Germany,10.0,0.0,1704.0,1827287.0,1437677.0,174.1544978
51,2004,Greece,0.0,0.0,112.0688464,281442.8968,8195.034396,168.3955298
52,2004,Ireland,0.0,0.0,241.079207,125102.0275,28792.89329,168.3367502
53,2004,Italy,42.0,0.0,494.0,950970.0,1338600.0,149.6929614
54,2004,Luxembourg,0.0,0.0,14.0,13284.0,34973.0,169.4246403
55,2004,Netherlands,0.0,0.0,1178.449063,363399.8496,119304.7014,172.4693521
56,2004,Portugal,0.0,0.0,471.0,85262.0,111851.0,147.7346822
57,2004,Spain,0.0,0.0,521.0003224,547827.339,1067728.661,157.5479817
58,2004,Sweden,0.0,0.0,736.0,231557.0,31861.0,197.2617949
59,2004,United Kingdom,0.0,0.0,2462.0,1730715.0,833668.0,172.0146507
60,2005,Austria,0.0,0.0,460.0,119632.0,187813.0,163.6956435
61,2005,Belgium,0.0,0.0,478.0,131015.0,348515.0,155.3080378
62,2005,Denmark,2.000013497,0.0,5.000033743,111154.7501,37016.24981,166.8186933
63,2005,Finland,0.0,0.0,62.0,122947.0,24731.0,180.3426445
64,2005,France,6.0,0.0,2855.0,641022.0,1423906.0,152.370482
65,2005,Germany,18.00002155,0.0,3578.004284,1912265.29,1424846.706,172.1218817
66,2005,Greece,0.0,0.0,227.1937471,265442.3649,4035.441358,167.8149183
67,2005,Ireland,0.0,0.0,316.0852476,134040.2778,37385.63697,166.4429171
68,2005,Italy,527.0002327,0.0,1109.00049,930688.411,1332336.588,150.0433359
69,2005,Luxembourg,0.0,0.0,53.0,11894.0,36570.0,167.7425322
70,2005,Netherlands,2.002246736,0.0,2936.294839,337735.9761,124521.7268,169.6947967
71,2005,Portugal,0.0,0.0,759.0,74009.0,131720.0,145.5872614
72,2005,Spain,0.0,0.0,1229.0,510891.0,1137231.0,156.6799039
73,2005,Sweden,1.0,0.0,1947.0,226296.0,45688.0,194.094476
74,2005,United Kingdom,0.0,0.0,5766.0,1538463.0,895022.0,169.3788553
75,2006,Austria,0.0,0.0,585.0,116237.0,191773.0,161.877698
76,2006,Belgium,0.0,0.0,895.0,136887.0,388331.0,154.0880929
77,2006,Denmark,2.0,0.0,13.0,113194.0,43700.0,165.10924
78,2006,Finland,0.0,0.0,109.0,115893.0,29231.0,179.8776891
79,2006,France,13.0000065,0.0,6413.003206,565984.2829,1428152.714,149.4601749
80,2006,Germany,3.000002596,0.0,5227.004524,1926088.667,1535170.329,172.2014705
81,2006,Greece,0.0,0.0,533.2849298,261314.6183,5796.096807,165.7469512
82,2006,Ireland,0.0,0.0,609.8553896,133666.1891,44206.95556,164.5584166
83,2006,Italy,26.0,0.0,2187.0,973691.0,1378237.0,149.1618033
84,2006,Luxembourg,0.0,0.0,89.0,11442.0,39306.0,167.6905543
85,2006,Netherlands,1.002545668,0.0,3155.011216,350625.3091,130228.6771,166.5441421
86,2006,Portugal,0.0,0.0,731.0,67213.0,126772.0,144.5282533
87,2006,Spain,0.0,0.0,2187.0,488213.0,1144089.0,156.0281542
88,2006,Sweden,0.0,0.0,2894.0,198037.0,81544.0,189.6624894
89,2006,United Kingdom,298.0,0.0,8957.0,1437376.0,897776.0,166.6915389
90,2007,Austria,0.0,0.0,766.0,120534.0,176881.0,162.0381741
91,2007,Belgium,0.0,0.0,1309.0,119166.0,404100.0,153.0229263
92,2007,Denmark,2.0,0.0,14.0,97747.0,65013.0,161.5450727
93,2007,Finland,0.0,0.0,149.0,89602.0,35247.0,177.90645
94,2007,France,6.0,0.0,7161.0,528838.0,1528994.0,149.1599688
95,2007,Germany,6.000001907,0.0,7515.002388,1639159.521,1499897.477,169.6375161
96,2007,Greece,0.0,0.0,1105.375396,270540.8783,8086.746336,165.1674858
97,2007,Ireland,0.0,0.0,1044.206321,133851.3711,51429.42256,163.5762411
98,2007,Italy,21.0,0.0,3440.0,1105058.0,1404453.0,147.5706389
99,2007,Luxembourg,0.0,0.0,124.0,11437.0,39771.0,165.9502457
100,2007,Netherlands,2.00884539,0.0,3709.333013,357762.3065,144065.3516,165.0270641
101,2007,Portugal,0.0,0.0,1914.0,60025.0,139877.0,143.4426543
102,2007,Spain,0.0,0.0,2538.0,466629.0,1145647.0,155.6471928
103,2007,Sweden,0.0,0.0,3391.0,159699.0,143235.0,183.1128726
104,2007,United Kingdom,397.0,0.0,15972.0,1423626.0,963628.0,164.1283087
105,2008,Austria,2.0,0.0,665.0,131993.0,161036.0,159.0665738
106,2008,Belgium,0.0,0.0,1878.0,111383.0,422432.0,148.0613343
107,2008,Denmark,5.0,0.0,48.0,80167.0,70429.0,147.2703909
108,2008,Finland,5.0,0.0,847.0,69570.0,68648.0,163.7167437
109,2008,France,4.000003902,0.0,8451.008244,454253.4431,1587574.549,140.6343056
110,2008,Germany,5.0,0.0,6152.0,1722202.0,1359930.0,165.8039347
111,2008,Greece,0.0,0.0,2336.472165,255330.5983,9547.929488,160.9603608
112,2008,Ireland,0.0,0.0,1195.167767,96521.38605,53899.44618,157.5832528
113,2008,Italy,77.0,0.0,3340.0,1068107.0,1102799.0,146.5223531
114,2008,Luxembourg,1.0,0.0,150.0,11891.0,40317.0,159.7254486
115,2008,Netherlands,0.0,0.0,11879.83079,361661.5718,126410.5974,157.8228551
116,2008,Portugal,0.0,0.0,1692.0,63873.0,147809.0,138.1151824
117,2008,Spain,0.0,0.0,3908.0,351986.0,805282.0,151.0813985
118,2008,Sweden,0.0,0.0,4153.0,103370.0,146400.0,174.836047
119,2008,United Kingdom,179.0,0.0,15385.0,1188689.0,926604.0,158.1411016
120,2009,Austria,39.0,0.0,1057.0,169702.0,148430.0,152.0084463
121,2009,Belgium,0.0,0.0,1837.007736,115865.4879,357224.5043,142.9311423
122,2009,Denmark,78.00139332,0.0,57.00101819,61854.10488,49975.89271,143.4594198
123,2009,Finland,1.0,0.0,780.0,47665.0,41815.0,158.478958
124,2009,France,10.00000892,0.0,9833.008768,657106.5859,1575944.405,134.3119022
